uniprot_id	gene_name	protein_name	organism	length	uniparc_id	uniprot_status	sequence_version	source_of_contamination
P00722	lacZ	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	Escherichia coli (strain K12)	1024	UPI0000049419	reviewed	2	Bacterial Ecoli
P09870	cloSI	Clostripain (EC 3.4.22.8) (Clostridiopeptidase B) [Cleaved into: Clostripain light chain; Clostripain heavy chain]	Hathewaya histolytica (Clostridium histolyticum)	526	UPI0000127ADB	reviewed	2	Enzyme
P30879	PGC	Gastricsin (EC 3.4.23.3) (Pepsinogen C)	Sus scrofa (Pig)	73	UPI00001315D3	reviewed	1	Enzyme
P0C1U8	sspA	Glutamyl endopeptidase (EC 3.4.21.19) (Endoproteinase Glu-C) (Staphylococcal serine proteinase) (V8 protease) (V8 proteinase)	Staphylococcus aureus	336	UPI0000054A40	reviewed	1	Enzyme
P00698	LYZ	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Allergen Gal d IV) (allergen Gal d 4)	Gallus gallus (Chicken)	147	UPI0000000F06	reviewed	1	Enzyme
Q7M135		Lysyl endopeptidase (EC 3.4.21.50) (Lys-C)	Lysobacter enzymogenes	269	UPI000017A8F0	reviewed	1	Enzyme
P13717	nucA	Nuclease (EC 3.1.30.2) (Endonuclease) [Cleaved into: Nuclease isoform Sm2; Nuclease isoform Sm3; Nuclease isoform Sm1]	Serratia marcescens	266	UPI0000043B79	reviewed	2	Enzyme
P00791	PGA	Pepsin A (EC 3.4.23.1)	Sus scrofa (Pig)	385	UPI0000E82621	reviewed	3	Enzyme
Q10735	PGB	Pepsin B (EC 3.4.23.2) (Parapepsin I)	Sus scrofa (Pig)	67	UPI0000088AF9	reviewed	1	Enzyme
P81054	MEP	Peptidyl-Lys metalloendopeptidase (MEP) (EC 3.4.24.20) (GfMEP)	Grifola frondosa (Maitake) (Polyporus frondosus)	348	UPI000006C96D	reviewed	2	Enzyme
P15636		Protease 1 (EC 3.4.21.50) (API) (Lysyl endopeptidase) (Protease I)	Achromobacter lyticus	653	UPI0000125C8B	reviewed	1	Enzyme
Q9U6Y5		GFP-like fluorescent chromoprotein FP506 (zFP506)	Zoanthus sp. (Green polyp)	231	UPI000007BED8	reviewed	1	GFP Fluorescent Protein
P42212	GFP	Green fluorescent protein	Aequorea victoria (Water jellyfish) (Mesonema victoria)	238	UPI0000002FB4	reviewed	1	GFP Fluorescent Protein
A1A580	KRTAP23-1	Keratin-associated protein 23-1	Homo sapiens (Human)	65	UPI00001A9E49	reviewed	1	Human skin and hair
A6NCN2	KRT87P	Putative keratin-87 protein (Keratin, hair, basic pseudogene 4) (Keratin-121 pseudogene)	Homo sapiens (Human)	255	UPI0001AE6B09	reviewed	4	Human skin and hair
A8MTY7	KRTAP9-7	Keratin-associated protein 9-7 (Keratin-associated protein 9-like 1)	Homo sapiens (Human)	169	UPI0000DD83F7	reviewed	1	Human skin and hair
A8MUX0	KRTAP16-1	Keratin-associated protein 16-1	Homo sapiens (Human)	517	UPI000015FD61	reviewed	1	Human skin and hair
A8MVA2	KRTAP9-6	Keratin-associated protein 9-6 (Keratin-associated protein 9-like 2)	Homo sapiens (Human)	160	UPI0000DD86F7	reviewed	1	Human skin and hair
A8MX34	KRTAP29-1	Keratin-associated protein 29-1 (Keratin-associated protein 29.2)	Homo sapiens (Human)	341	UPI000015FD5F	reviewed	1	Human skin and hair
A8MXZ3	KRTAP9-1	Keratin-associated protein 9-1 (Keratin-associated protein 9-like 3)	Homo sapiens (Human)	250	UPI0000E59F6A	reviewed	1	Human skin and hair
O43790	KRT86	Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)	Homo sapiens (Human)	486	UPI000006E57E	reviewed	1	Human skin and hair
